_________________________________________________________________
|---N of Coord--|-------x-------|-------y-------|-------z-------|
|            495|        14.6514|       -83.2423|              0|
|            496|        19.2332|       -83.2423|              0|
|            497|        24.7313|       -83.2423|              0|
|            498|         31.329|       -83.2423|              0|
|            499|        39.2463|       -83.2423|              0|
|            500|         48.747|       -83.2423|              0|
|            501|        60.1479|       -83.2423|              0|
|            502|         73.829|       -83.2423|              0|
|            503|        90.2463|       -83.2423|              0|
|            504|        109.947|       -83.2423|              0|
|            505|        133.588|       -83.2423|              0|
|            506|        161.957|       -83.2423|              0|
|            507|            196|       -83.2423|              0|
|            508|        236.851|       -83.2423|              0|
|            509|        285.873|       -83.2423|              0|
|            510|        344.699|       -83.2423|              0|
|            511|         415.29|       -83.2423|              0|
|            512|            500|       -83.2423|              0|
|            513|           -500|       -66.4392|              0|
|            514|       -399.845|       -66.4392|              0|
|            515|       -319.722|       -66.4392|              0|
|            516|       -255.623|       -66.4392|              0|
|            517|       -204.343|       -66.4392|              0|
|            518|        -163.32|       -66.4392|              0|
|            519|       -130.501|       -66.4392|              0|
|            520|       -104.246|       -66.4392|              0|
|            521|       -83.2423|       -66.4392|              0|
|            522|       -66.4392|       -66.4392|              0|
|            523|       -52.9966|       -66.4392|              0|
|            524|       -42.2426|       -66.4392|              0|
|            525|       -33.6394|       -66.4392|              0|
|            526|       -26.7568|       -66.4392|              0|
|            527|       -21.2507|       -66.4392|              0|
|            528|       -16.8459|       -66.4392|              0|
|            529|        -13.322|       -66.4392|              0|
|            530|       -10.5029|       -66.4392|              0|
|            531|       -8.24761|       -66.4392|              0|
|            532|       -6.44338|       -66.4392|              0|
|            533|             -5|       -66.4392|              0|
|            534|          -4.25|       -66.4392|              0|
|            535|           -3.5|       -66.4392|              0|
|            536|          -2.75|       -66.4392|              0|
|            537|             -2|       -66.4392|              0|
|            538|           -1.5|       -66.4392|              0|
|            539|             -1|       -66.4392|              0|
|            540|           -0.5|       -66.4392|              0|
|            541|              0|       -66.4392|              0|
|            542|            0.5|       -66.4392|              0|
|            543|              1|       -66.4392|              0|
|            544|            1.5|       -66.4392|              0|
|            545|              2|       -66.4392|              0|
|            546|           2.75|       -66.4392|              0|
|            547|            3.5|       -66.4392|              0|
|            548|           4.25|       -66.4392|              0|
|            549|              5|       -66.4392|              0|
|            550|        7.65148|       -66.4392|              0|
|            551|        10.8333|       -66.4392|              0|
|            552|        14.6514|       -66.4392|              0|
|            553|        19.2332|       -66.4392|              0|
|            554|        24.7313|       -66.4392|              0|
|            555|         31.329|       -66.4392|              0|
|            556|        39.2463|       -66.4392|              0|
|            557|         48.747|       -66.4392|              0|
|            558|        60.1479|       -66.4392|              0|
|            559|         73.829|       -66.4392|              0|
|            560|        90.2463|       -66.4392|              0|
|            561|        109.947|       -66.4392|              0|
|            562|        133.588|       -66.4392|              0|
|            563|        161.957|       -66.4392|              0|
|            564|            196|       -66.4392|              0|
|            565|        236.851|       -66.4392|              0|
|            566|        285.873|       -66.4392|              0|
|            567|        344.699|       -66.4392|              0|
|            568|         415.29|       -66.4392|              0|
|            569|            500|       -66.4392|              0|
|            570|           -500|       -52.9966|              0|
|            571|       -399.845|       -52.9966|              0|
|            572|       -319.722|       -52.9966|              0|
|            573|       -255.623|       -52.9966|              0|
|            574|       -204.343|       -52.9966|              0|
|            575|        -163.32|       -52.9966|              0|
|            576|       -130.501|       -52.9966|              0|
|            577|       -104.246|       -52.9966|              0|
|            578|       -83.2423|       -52.9966|              0|
|            579|       -66.4392|       -52.9966|              0|
|            580|       -52.9966|       -52.9966|              0|
|            581|       -42.2426|       -52.9966|              0|
|            582|       -33.6394|       -52.9966|              0|
|            583|       -26.7568|       -52.9966|              0|
|            584|       -21.2507|       -52.9966|              0|
|            585|       -16.8459|       -52.9966|              0|
|            586|        -13.322|       -52.9966|              0|
|            587|       -10.5029|       -52.9966|              0|
|            588|       -8.24761|       -52.9966|              0|
|            589|       -6.44338|       -52.9966|              0|
|            590|             -5|       -52.9966|              0|
|            591|          -4.25|       -52.9966|              0|
|            592|           -3.5|       -52.9966|              0|
|            593|          -2.75|       -52.9966|              0|
|            594|             -2|       -52.9966|              0|
|            595|           -1.5|       -52.9966|              0|
|            596|             -1|       -52.9966|              0|
|            597|           -0.5|       -52.9966|              0|
|            598|              0|       -52.9966|              0|
|            599|            0.5|       -52.9966|              0|
|            600|              1|       -52.9966|              0|
|            601|            1.5|       -52.9966|              0|
|            602|              2|       -52.9966|              0|
|            603|           2.75|       -52.9966|              0|
|            604|            3.5|       -52.9966|              0|
|            605|           4.25|       -52.9966|              0|
|            606|              5|       -52.9966|              0|
|            607|        7.65148|       -52.9966|              0|
|            608|        10.8333|       -52.9966|              0|
|            609|        14.6514|       -52.9966|              0|
|            610|        19.2332|       -52.9966|              0|
|            611|        24.7313|       -52.9966|              0|
|            612|         31.329|       -52.9966|              0|
|            613|        39.2463|       -52.9966|              0|
|            614|         48.747|       -52.9966|              0|
|            615|        60.1479|       -52.9966|              0|
|            616|         73.829|       -52.9966|              0|
|            617|        90.2463|       -52.9966|              0|
|            618|        109.947|       -52.9966|              0|
