Time 0
_________________________________________________________________
|-------x-------|-------y-------|-------z-------|---Solution----|
|         73.829|       -204.343|              0|        -81.375|
|        90.2463|       -204.343|              0|       -76.0711|
|        109.947|       -204.343|              0|       -68.7845|
|        133.588|       -204.343|              0|       -59.0309|
|        161.957|       -204.343|              0|       -46.3668|
|            196|       -204.343|              0|        -30.473|
|        236.851|       -204.343|              0|       -11.2158|
|        285.873|       -204.343|              0|        11.3659|
|        344.699|       -204.343|              0|         37.192|
|         415.29|       -204.343|              0|         66.429|
|            500|       -204.343|              0|            100|
|           -500|        -163.32|              0|            100|
|       -399.845|        -163.32|              0|        55.6275|
|       -319.722|        -163.32|              0|        17.3417|
|       -255.623|        -163.32|              0|       -16.4385|
|       -204.343|        -163.32|              0|       -45.7737|
|        -163.32|        -163.32|              0|       -70.3229|
|       -130.501|        -163.32|              0|       -89.9199|
|       -104.246|        -163.32|              0|       -104.812|
|       -83.2423|        -163.32|              0|       -115.629|
|       -66.4392|        -163.32|              0|       -123.196|
|       -52.9966|        -163.32|              0|       -128.338|
|       -42.2426|        -163.32|              0|       -131.759|
|       -33.6394|        -163.32|              0|       -134.001|
|       -26.7568|        -163.32|              0|       -135.454|
|       -21.2507|        -163.32|              0|       -136.388|
|       -16.8459|        -163.32|              0|       -136.986|
|        -13.322|        -163.32|              0|       -137.366|
|       -10.5029|        -163.32|              0|       -137.607|
|       -8.24761|        -163.32|              0|       -137.759|
|       -6.44338|        -163.32|              0|       -137.855|
|             -5|        -163.32|              0|       -137.914|
|          -4.25|        -163.32|              0|       -137.939|
|           -3.5|        -163.32|              0|        -137.96|
|          -2.75|        -163.32|              0|       -137.977|
|             -2|        -163.32|              0|        -137.99|
|           -1.5|        -163.32|              0|       -137.996|
|             -1|        -163.32|              0|           -138|
|           -0.5|        -163.32|              0|       -138.003|
|              0|        -163.32|              0|       -138.004|
|            0.5|        -163.32|              0|       -138.003|
|              1|        -163.32|              0|           -138|
|            1.5|        -163.32|              0|       -137.996|
